id,name,group_id,description,is_essential,emoji,created_at,is_active,monthly_plan_target_amount,sort_order,spending_type_override,updated_at,user_id,category_type,avg_monthly_amount,last_analysis_date,recurrence_confidence,is_recurrent,is_commitment,plan_classification,is_recurrent_manually_set,last_manual_update
95,Honda,52,,FALSE,,2025-07-16 22:58:26.486371+00,TRUE,,0,,2025-07-16 22:58:26.486371+00,13,expense,0,2025-08-20 00:31:14.59578+00,0,FALSE,FALSE,estilo_vida_opcional,FALSE,
96,Gym,51,,FALSE,,2025-07-16 22:58:26.486371+00,TRUE,,0,,2025-07-16 22:58:26.486371+00,13,expense,0,2025-08-20 00:31:14.361217+00,0,FALSE,FALSE,estilo_vida_opcional,FALSE,
97,Rent,41,,TRUE,,2025-07-16 22:58:26.486371+00,TRUE,,0,,2025-07-16 23:35:50.774709+00,13,expense,0,2025-07-16 22:59:02.785446+00,0,TRUE,TRUE,compromisos_esenciales,TRUE,2025-07-16 23:25:41.634184+00
98,Withdrawal,42,,FALSE,,2025-07-16 22:58:26.486371+00,TRUE,,0,,2025-07-16 22:58:26.486371+00,13,transfer,0,2025-08-20 00:31:21.186923+00,0,FALSE,FALSE,estilo_vida_opcional,FALSE,
99,Leisure,48,,FALSE,,2025-07-16 22:58:26.486371+00,TRUE,,0,,2025-07-16 22:58:26.486371+00,13,expense,0,2025-08-20 00:31:15.86153+00,0,FALSE,FALSE,estilo_vida_opcional,FALSE,
100,Uber,54,,FALSE,,2025-07-16 22:58:26.486371+00,TRUE,,0,,2025-07-16 22:58:26.486371+00,13,income,0,2025-08-20 00:31:19.187801+00,0,FALSE,FALSE,income,FALSE,
101,Other,51,,FALSE,,2025-07-16 22:58:26.486371+00,TRUE,,0,,2025-07-16 22:58:26.486371+00,13,expense,0,2025-08-20 00:31:16.794686+00,0,FALSE,FALSE,estilo_vida_opcional,FALSE,
102,Roth IRA,50,,TRUE,,2025-07-16 22:58:26.486371+00,TRUE,,0,,2025-07-16 23:39:10.808827+00,13,expense,0,2025-08-20 00:31:17.499791+00,0,FALSE,FALSE,estilo_vida_relevante,FALSE,
103,Green Card,51,,FALSE,,2025-07-16 22:58:26.486371+00,TRUE,,0,,2025-07-16 22:58:26.486371+00,13,expense,0,2025-08-20 00:31:14.129337+00,0,FALSE,FALSE,estilo_vida_opcional,FALSE,
104,Withdrawal,49,,FALSE,,2025-07-16 22:58:26.486371+00,TRUE,,0,,2025-07-16 22:58:26.486371+00,13,transfer,0,2025-08-20 00:31:20.140189+00,0,FALSE,FALSE,estilo_vida_opcional,FALSE,
105,Payment,55,,FALSE,,2025-07-16 22:58:26.486371+00,TRUE,,0,,2025-07-16 22:58:26.486371+00,13,transfer,0,2025-08-20 00:31:17.027763+00,0,FALSE,FALSE,estilo_vida_opcional,FALSE,
